Source,Target,Amount
0330_03,FoodCourt,317
0334_01,FoodCourt,2
0336_01,FoodCourt,1
0337_02,FoodCourt,349
0348_01,FoodCourt,2876
0357_01,FoodCourt,1198
0360_01,FoodCourt,212
0361_01,FoodCourt,36
0368_01,FoodCourt,107
0370_01,FoodCourt,95
0372_01,FoodCourt,5
0377_01,FoodCourt,1068
0378_01,FoodCourt,215
0378_03,FoodCourt,235
0378_06,FoodCourt,2491
0383_01,FoodCourt,773
0385_01,FoodCourt,747
0389_01,FoodCourt,44
0391_01,FoodCourt,5728
0392_01,FoodCourt,111
0395_01,FoodCourt,11003
0395_02,FoodCourt,608
0398_01,FoodCourt,420
0403_01,FoodCourt,896
0407_01,FoodCourt,21
0407_02,FoodCourt,465
0408_01,FoodCourt,113
0410_01,FoodCourt,150
0412_01,FoodCourt,7255
0413_01,FoodCourt,157
0417_02,FoodCourt,1170
0423_01,FoodCourt,3584
0425_01,FoodCourt,2
0428_01,FoodCourt,4118
0429_01,FoodCourt,10116
0430_01,FoodCourt,1026
0432_01,FoodCourt,10
0433_02,FoodCourt,891
0436_02,FoodCourt,11
0439_01,FoodCourt,5637
0442_01,FoodCourt,1043
0444_01,FoodCourt,429
0454_01,FoodCourt,4288
0456_01,FoodCourt,185
0461_01,FoodCourt,869
0461_02,FoodCourt,70
0463_02,FoodCourt,852
0465_01,FoodCourt,10
0465_02,FoodCourt,654
0471_01,FoodCourt,45
0471_02,FoodCourt,7972
0472_01,FoodCourt,10
0476_01,FoodCourt,6
0477_01,FoodCourt,5
0480_01,FoodCourt,34
0482_01,FoodCourt,118
0482_02,FoodCourt,14
0485_01,FoodCourt,33
0487_01,FoodCourt,1794
0501_01,FoodCourt,929
0503_03,FoodCourt,35
0504_04,FoodCourt,1737
0510_01,FoodCourt,16521
0512_01,FoodCourt,5755
0516_01,FoodCourt,2492
0521_01,FoodCourt,263
0523_01,FoodCourt,213
0527_01,FoodCourt,11
0528_01,FoodCourt,1119
0534_01,FoodCourt,715
0534_02,FoodCourt,1308
0537_01,FoodCourt,5
0538_01,FoodCourt,1073
0539_05,FoodCourt,1793
0546_01,FoodCourt,691
0547_01,FoodCourt,15
0548_01,FoodCourt,86
0550_01,FoodCourt,12
0553_02,FoodCourt,6506
0555_02,FoodCourt,165
0556_01,FoodCourt,1428
0559_01,FoodCourt,12
0560_03,FoodCourt,293
0563_01,FoodCourt,642
0564_03,FoodCourt,410
0568_01,FoodCourt,33
0569_01,FoodCourt,334
0570_01,FoodCourt,5085
0571_06,FoodCourt,1542
0573_01,FoodCourt,809
0579_01,FoodCourt,790
0579_02,FoodCourt,233
0587_01,FoodCourt,25
0589_01,FoodCourt,1
0590_01,FoodCourt,2
0593_01,FoodCourt,152
0594_02,FoodCourt,4
0600_01,FoodCourt,3385
0607_01,FoodCourt,654
0607_02,FoodCourt,3113
0607_03,FoodCourt,1111
0618_02,FoodCourt,368
0634_01,FoodCourt,1496
0635_01,FoodCourt,1778
0636_01,FoodCourt,7
0639_01,FoodCourt,123
0642_01,FoodCourt,3344
0642_02,FoodCourt,4967
0643_01,FoodCourt,266
0655_01,FoodCourt,2
0657_01,FoodCourt,863
0657_02,FoodCourt,8
0658_01,FoodCourt,576
0661_01,FoodCourt,2506
0663_01,FoodCourt,525
0668_01,FoodCourt,25
0669_01,FoodCourt,530
0679_01,FoodCourt,215
0683_01,FoodCourt,96
0685_01,FoodCourt,922
0693_02,FoodCourt,3488
0696_01,FoodCourt,581
0702_01,FoodCourt,237
0709_01,FoodCourt,4949
0713_01,FoodCourt,2
0724_01,FoodCourt,23
0729_01,FoodCourt,781
0732_01,FoodCourt,714
0733_01,FoodCourt,38
0734_01,FoodCourt,2
0737_01,FoodCourt,835
0740_01,FoodCourt,16
0740_03,FoodCourt,3425
0750_01,FoodCourt,142
0753_02,FoodCourt,1344
0756_02,FoodCourt,287
0761_01,FoodCourt,3879
0767_01,FoodCourt,6
0768_01,FoodCourt,12180
0770_02,FoodCourt,715
0772_01,FoodCourt,16
0773_01,FoodCourt,4
0776_01,FoodCourt,2
0777_01,FoodCourt,3004
0779_01,FoodCourt,2
0781_01,FoodCourt,33
0789_01,FoodCourt,166
0789_02,FoodCourt,142
0799_01,FoodCourt,3462
0805_01,FoodCourt,13248
0808_01,FoodCourt,110
0809_02,FoodCourt,42
0815_01,FoodCourt,1
0816_01,FoodCourt,284
0820_01,FoodCourt,59
0822_01,FoodCourt,561
0826_01,FoodCourt,653
0828_02,FoodCourt,2
0830_01,FoodCourt,5
0836_01,FoodCourt,701
0839_01,FoodCourt,179
0840_01,FoodCourt,1111
0845_01,FoodCourt,2956
0851_01,FoodCourt,378
0860_01,FoodCourt,7
0867_01,FoodCourt,850
0870_01,FoodCourt,473
0871_01,FoodCourt,4754
0874_01,FoodCourt,162
0876_01,FoodCourt,687
0881_01,FoodCourt,3
0883_01,FoodCourt,5
0889_02,FoodCourt,12804
0902_01,FoodCourt,124
0904_01,FoodCourt,2792
0906_01,FoodCourt,388
0907_01,FoodCourt,5738
0907_02,FoodCourt,1736
0912_01,FoodCourt,7461
0913_01,FoodCourt,172
0919_01,FoodCourt,84
0922_02,FoodCourt,1095
0923_01,FoodCourt,7767
0926_01,FoodCourt,7992
0926_02,FoodCourt,760
0933_01,FoodCourt,12045
0933_02,FoodCourt,1127
0935_01,FoodCourt,11
0940_01,FoodCourt,741
0941_01,FoodCourt,7
0946_01,FoodCourt,5
0947_01,FoodCourt,474
0953_01,FoodCourt,306
0956_01,FoodCourt,631
0961_01,FoodCourt,885
0972_01,FoodCourt,314
0975_01,FoodCourt,317
0978_01,FoodCourt,32
0984_01,FoodCourt,1
0984_05,FoodCourt,11
0988_01,FoodCourt,3
0988_02,FoodCourt,784
0990_01,FoodCourt,541
0992_01,FoodCourt,2727
0992_02,FoodCourt,942
0992_03,FoodCourt,1736
0992_04,FoodCourt,300
0992_06,FoodCourt,791
0994_02,FoodCourt,1
0998_01,FoodCourt,7447
1011_01,FoodCourt,4
1015_01,FoodCourt,131
1017_01,FoodCourt,15
1019_01,FoodCourt,1410
1022_01,FoodCourt,6
1024_01,FoodCourt,12
1024_03,FoodCourt,5
1031_01,FoodCourt,84
1038_01,FoodCourt,306
1040_01,FoodCourt,162
1045_02,FoodCourt,2349
1048_01,FoodCourt,537
1051_01,FoodCourt,447
1060_01,FoodCourt,20
1062_01,FoodCourt,773
1063_01,FoodCourt,3262
1071_01,FoodCourt,1328
1077_01,FoodCourt,113
1078_01,FoodCourt,709
1084_01,FoodCourt,1
1089_02,FoodCourt,565
1093_01,FoodCourt,59
1094_01,FoodCourt,2
1099_01,FoodCourt,78
1100_01,FoodCourt,355
1100_04,FoodCourt,271
1110_01,FoodCourt,24
1110_02,FoodCourt,6138
1112_01,FoodCourt,4076
1116_02,FoodCourt,3011
1121_01,FoodCourt,46
1123_01,FoodCourt,402
1130_02,FoodCourt,3
1136_01,FoodCourt,1755
1140_01,FoodCourt,143
1144_03,FoodCourt,97
1148_02,FoodCourt,122
1148_03,FoodCourt,5225
1148_04,FoodCourt,5212
1148_07,FoodCourt,841
1155_01,FoodCourt,799
1156_01,FoodCourt,2987
1161_01,FoodCourt,11330
1161_02,FoodCourt,1291
1162_01,FoodCourt,1847
1163_01,FoodCourt,1328
1165_01,FoodCourt,7201
1165_02,FoodCourt,333
1166_01,FoodCourt,3564
1168_01,FoodCourt,58
1173_01,FoodCourt,592
1182_03,FoodCourt,1356
1186_04,FoodCourt,33
1187_01,FoodCourt,575
1188_01,FoodCourt,4227
1190_01,FoodCourt,243
1192_01,FoodCourt,670
1195_01,FoodCourt,558
1197_01,FoodCourt,122
1198_01,FoodCourt,1116
1203_01,FoodCourt,5473
1206_01,FoodCourt,8
1210_02,FoodCourt,510
1211_05,FoodCourt,212
1212_01,FoodCourt,1
1216_01,FoodCourt,905
1220_01,FoodCourt,592
1222_01,FoodCourt,493
1225_01,FoodCourt,1311
1230_01,FoodCourt,34
1232_02,FoodCourt,42
1235_01,FoodCourt,393
1236_01,FoodCourt,43
1238_01,FoodCourt,1026
1239_01,FoodCourt,13
1240_01,FoodCourt,185
1242_01,FoodCourt,4677
1243_01,FoodCourt,4224
1243_02,FoodCourt,69
1246_01,FoodCourt,192
1250_01,FoodCourt,17
1258_01,FoodCourt,3628
1261_01,FoodCourt,3106
1263_01,FoodCourt,1
1264_01,FoodCourt,1
1280_01,FoodCourt,178
1285_01,FoodCourt,415
1291_01,FoodCourt,59
1292_01,FoodCourt,27723
1292_02,FoodCourt,368
1300_01,FoodCourt,299
1302_01,FoodCourt,50
1306_01,FoodCourt,3863
1308_02,FoodCourt,3300
1308_03,FoodCourt,439
1309_01,FoodCourt,4
1310_01,FoodCourt,987
1311_02,FoodCourt,47
1311_03,FoodCourt,4
1316_02,FoodCourt,847
1325_02,FoodCourt,160
1330_02,FoodCourt,8
1333_01,FoodCourt,486
1337_01,FoodCourt,14
1342_01,FoodCourt,118
1347_01,FoodCourt,761
1348_01,FoodCourt,1531
1350_02,FoodCourt,2
1350_03,FoodCourt,106
1352_01,FoodCourt,782
1356_01,FoodCourt,39
1360_01,FoodCourt,997
1362_01,FoodCourt,1268
1365_01,FoodCourt,2381
1371_01,FoodCourt,466
1375_02,FoodCourt,3
1377_01,FoodCourt,2801
1378_01,FoodCourt,41
1379_01,FoodCourt,30
1380_01,FoodCourt,21
1382_01,FoodCourt,1125
1384_03,FoodCourt,442
1384_05,FoodCourt,510
1385_01,FoodCourt,3
1391_02,FoodCourt,79
1391_03,FoodCourt,2
1397_01,FoodCourt,190
1398_01,FoodCourt,508
1404_01,FoodCourt,734
1404_02,FoodCourt,51
1407_01,FoodCourt,4
1407_02,FoodCourt,222
1408_01,FoodCourt,770
1410_01,FoodCourt,567
1417_01,FoodCourt,184
1421_01,FoodCourt,6153
1424_02,FoodCourt,2147
1424_04,FoodCourt,4380
1428_01,FoodCourt,200
1434_01,FoodCourt,258
1435_01,FoodCourt,20
1438_01,FoodCourt,224
1439_01,FoodCourt,186
1439_02,FoodCourt,100
1440_01,FoodCourt,1826
1444_01,FoodCourt,1248
1450_02,FoodCourt,138
1451_01,FoodCourt,484
1452_01,FoodCourt,251
1452_03,FoodCourt,1646
1452_04,FoodCourt,774
1453_01,FoodCourt,2838
1453_02,FoodCourt,801
1454_01,FoodCourt,13561
1455_02,FoodCourt,2509
1455_04,FoodCourt,533
1455_05,FoodCourt,2732
1457_01,FoodCourt,368
1460_01,FoodCourt,905
1463_01,FoodCourt,414
1465_01,FoodCourt,287
1467_01,FoodCourt,1
1478_02,FoodCourt,19
1484_01,FoodCourt,1
1490_01,FoodCourt,304
1491_02,FoodCourt,51
1498_01,FoodCourt,495
1500_03,FoodCourt,55
1500_05,FoodCourt,184
1501_01,FoodCourt,216
1506_01,FoodCourt,24
1507_02,FoodCourt,1
1507_04,FoodCourt,490
1511_03,FoodCourt,2345
1511_04,FoodCourt,2121
1525_01,FoodCourt,1269
1528_01,FoodCourt,673
1529_01,FoodCourt,7069
1532_01,FoodCourt,31
1539_01,FoodCourt,3782
1540_01,FoodCourt,470
1540_02,FoodCourt,7139
1540_03,FoodCourt,170
1541_01,FoodCourt,7
1550_01,FoodCourt,230
1550_02,FoodCourt,2376
1551_01,FoodCourt,1376
1555_01,FoodCourt,1389
1558_01,FoodCourt,15
1560_01,FoodCourt,1
1565_01,FoodCourt,1519
1568_01,FoodCourt,100
1572_01,FoodCourt,17
1577_01,FoodCourt,169
1578_01,FoodCourt,24
1579_01,FoodCourt,1819
1588_02,FoodCourt,17394
1590_01,FoodCourt,1336
1590_02,FoodCourt,26
1592_01,FoodCourt,3621
1592_02,FoodCourt,2127
1593_01,FoodCourt,51
1594_01,FoodCourt,3
1595_01,FoodCourt,4342
1601_01,FoodCourt,5
1603_01,FoodCourt,594
1604_01,FoodCourt,3
1606_01,FoodCourt,817
1608_01,FoodCourt,193
1611_01,FoodCourt,865
1612_01,FoodCourt,3750
1613_01,FoodCourt,9
1617_01,FoodCourt,1575
1621_02,FoodCourt,129
1625_02,FoodCourt,930
1626_01,FoodCourt,9
1630_03,FoodCourt,27
1631_01,FoodCourt,32
1636_01,FoodCourt,666
1644_01,FoodCourt,2
1653_01,FoodCourt,1303
1655_02,FoodCourt,807
1656_01,FoodCourt,160
1659_01,FoodCourt,82
1660_01,FoodCourt,1
1661_02,FoodCourt,62
1661_04,FoodCourt,2390
1666_01,FoodCourt,787
1670_01,FoodCourt,67
1671_01,FoodCourt,859
1677_01,FoodCourt,87
1681_01,FoodCourt,89
1685_01,FoodCourt,260
1687_01,FoodCourt,450
1688_01,FoodCourt,554
1690_01,FoodCourt,26
1691_01,FoodCourt,1234
1696_01,FoodCourt,760
1697_01,FoodCourt,13
1699_01,FoodCourt,574
1700_02,FoodCourt,4
1704_02,FoodCourt,1164
1708_01,FoodCourt,3
1709_07,FoodCourt,54
1711_01,FoodCourt,244
1712_02,FoodCourt,1
1713_01,FoodCourt,726
1721_01,FoodCourt,36
1724_01,FoodCourt,1563
1725_01,FoodCourt,201
1731_02,FoodCourt,808
1733_01,FoodCourt,108
1740_01,FoodCourt,13
1742_01,FoodCourt,478
1745_01,FoodCourt,1310
1752_01,FoodCourt,1
1757_01,FoodCourt,809
1760_01,FoodCourt,21
1761_01,FoodCourt,490
1762_01,FoodCourt,7
1763_01,FoodCourt,3240
1767_02,FoodCourt,782
1767_03,FoodCourt,3368
1768_01,FoodCourt,24
1771_01,FoodCourt,338
1779_01,FoodCourt,603
1781_01,FoodCourt,11026
1786_01,FoodCourt,94
1792_01,FoodCourt,2
1798_01,FoodCourt,275
1799_01,FoodCourt,639
1803_01,FoodCourt,169
1807_01,FoodCourt,3722
1808_01,FoodCourt,763
1811_02,FoodCourt,20
1812_01,FoodCourt,852
1816_01,FoodCourt,640
1816_02,FoodCourt,2334
1821_01,FoodCourt,4
1822_01,FoodCourt,811
1823_01,FoodCourt,68
1826_01,FoodCourt,231
1827_01,FoodCourt,94
1828_01,FoodCourt,1333
1829_01,FoodCourt,3578
1829_02,FoodCourt,6398
1829_03,FoodCourt,8882
1829_04,FoodCourt,4424
1829_06,FoodCourt,699
1833_01,FoodCourt,127
1836_01,FoodCourt,1218
1843_01,FoodCourt,153
1847_01,FoodCourt,317
1850_01,FoodCourt,316
1854_01,FoodCourt,13527
1855_02,FoodCourt,43
1856_01,FoodCourt,710
1860_01,FoodCourt,1
1860_02,FoodCourt,3441
1861_02,FoodCourt,415
1864_01,FoodCourt,22
1865_05,FoodCourt,60
1871_01,FoodCourt,1983
1877_01,FoodCourt,25
1879_01,FoodCourt,583
1880_01,FoodCourt,128
1882_01,FoodCourt,16263
1886_01,FoodCourt,3
1887_01,FoodCourt,88
1892_01,FoodCourt,809
1892_02,FoodCourt,841
1892_03,FoodCourt,748
1897_01,FoodCourt,10153
1897_02,FoodCourt,354
1899_01,FoodCourt,44
1905_01,FoodCourt,39
1907_01,FoodCourt,1810
1911_01,FoodCourt,652
1915_01,FoodCourt,51
1916_02,FoodCourt,79
1918_03,FoodCourt,2043
1923_01,FoodCourt,4286
1937_01,FoodCourt,877
1939_02,FoodCourt,10
1942_01,FoodCourt,444
1959_02,FoodCourt,382
1959_03,FoodCourt,433
1961_01,FoodCourt,6
1962_01,FoodCourt,361
1964_01,FoodCourt,869
1969_01,FoodCourt,21066
1976_01,FoodCourt,8037
1976_02,FoodCourt,3578
1976_04,FoodCourt,2972
1980_02,FoodCourt,5
1981_01,FoodCourt,602
1984_01,FoodCourt,3166
1991_02,FoodCourt,85
1996_01,FoodCourt,25
1997_01,FoodCourt,1670
1999_01,FoodCourt,1
2000_01,FoodCourt,2676
2001_01,FoodCourt,194
2003_01,FoodCourt,6
2006_01,FoodCourt,856
2007_01,FoodCourt,5734
2012_01,FoodCourt,865
2015_01,FoodCourt,18
2019_01,FoodCourt,5183
2019_02,FoodCourt,162
2022_01,FoodCourt,809
2024_02,FoodCourt,1535
2026_03,FoodCourt,4
2027_01,FoodCourt,1
2029_01,FoodCourt,6
2034_01,FoodCourt,75
2038_01,FoodCourt,133
2052_01,FoodCourt,1211
2053_01,FoodCourt,741
2055_02,FoodCourt,58
2056_03,FoodCourt,286
2061_01,FoodCourt,5063
2070_01,FoodCourt,1
2071_01,FoodCourt,3559
2071_02,FoodCourt,2406
2074_01,FoodCourt,3343
2074_02,FoodCourt,4081
2081_01,FoodCourt,911
2083_01,FoodCourt,20
2084_01,FoodCourt,10
2085_01,FoodCourt,590
2086_01,FoodCourt,4451
2086_02,FoodCourt,1342
2088_01,FoodCourt,717
2089_01,FoodCourt,2
2095_01,FoodCourt,11
2096_01,FoodCourt,10
2099_01,FoodCourt,1095
2102_01,FoodCourt,9314
2107_01,FoodCourt,2
2111_01,FoodCourt,593
2112_01,FoodCourt,305
2117_01,FoodCourt,8718
2125_01,FoodCourt,1
2127_01,FoodCourt,62
2130_01,FoodCourt,2
2143_01,FoodCourt,1433
2145_01,FoodCourt,951
2148_01,FoodCourt,226
2156_01,FoodCourt,25
2158_01,FoodCourt,820
2159_01,FoodCourt,402
2167_01,FoodCourt,220
2172_01,FoodCourt,774
2179_01,FoodCourt,3585
2182_01,FoodCourt,1935
2183_02,FoodCourt,59
2187_01,FoodCourt,236
2188_01,FoodCourt,421
2195_01,FoodCourt,280
2196_01,FoodCourt,32
2196_02,FoodCourt,4587
2196_04,FoodCourt,1180
2198_01,FoodCourt,654
2200_01,FoodCourt,1108
2201_01,FoodCourt,1968
2206_01,FoodCourt,14
2209_01,FoodCourt,20
2211_01,FoodCourt,2347
2212_01,FoodCourt,5
2215_01,FoodCourt,29813
2215_02,FoodCourt,2229
2215_04,FoodCourt,3206
2223_01,FoodCourt,86
2224_01,FoodCourt,600
2229_01,FoodCourt,329
2231_01,FoodCourt,416
2232_01,FoodCourt,14
2232_02,FoodCourt,1220
2233_01,FoodCourt,18
2234_04,FoodCourt,8
2235_01,FoodCourt,539
2237_01,FoodCourt,162
2241_01,FoodCourt,1109
2243_01,FoodCourt,483
2251_01,FoodCourt,1179
2251_02,FoodCourt,1
2252_01,FoodCourt,1368
2253_01,FoodCourt,32
2254_01,FoodCourt,10
2257_01,FoodCourt,3341
2262_01,FoodCourt,4
2277_01,FoodCourt,313
2279_01,FoodCourt,140
2280_01,FoodCourt,1064
2282_01,FoodCourt,544
2284_01,FoodCourt,302
2287_01,FoodCourt,1
2288_01,FoodCourt,746
2291_03,FoodCourt,37
2295_02,FoodCourt,8
2298_01,FoodCourt,412
2300_02,FoodCourt,22
2302_01,FoodCourt,3381
2306_03,FoodCourt,297
2306_04,FoodCourt,12077
2306_06,FoodCourt,428
2308_02,FoodCourt,2426
2308_03,FoodCourt,2012
2308_04,FoodCourt,4715
2310_03,FoodCourt,2210
2311_01,FoodCourt,763
2317_01,FoodCourt,454
2318_01,FoodCourt,37
2320_01,FoodCourt,760
2327_01,FoodCourt,4106
2336_02,FoodCourt,910
2341_01,FoodCourt,785
2347_01,FoodCourt,22
2348_01,FoodCourt,1223
2349_01,FoodCourt,722
2353_01,FoodCourt,5412
2356_01,FoodCourt,82
2357_01,FoodCourt,409
2363_01,FoodCourt,8926
2364_01,FoodCourt,4
2373_01,FoodCourt,4756
2376_01,FoodCourt,30
2382_01,FoodCourt,33
2387_01,FoodCourt,400
2389_01,FoodCourt,46
2391_01,FoodCourt,19
2395_01,FoodCourt,1
2396_01,FoodCourt,557
2397_01,FoodCourt,810
2398_01,FoodCourt,780
2404_01,FoodCourt,544
2404_03,FoodCourt,5553
2409_01,FoodCourt,395
2411_01,FoodCourt,2115
2414_01,FoodCourt,1829
2417_01,FoodCourt,31
2424_01,FoodCourt,223
2429_01,FoodCourt,56
2431_01,FoodCourt,2
2439_01,FoodCourt,537
2441_01,FoodCourt,11
2443_01,FoodCourt,421
2444_01,FoodCourt,236
2445_01,FoodCourt,3
2452_01,FoodCourt,2
2458_01,FoodCourt,93
2466_01,FoodCourt,1
2472_01,FoodCourt,4
2475_01,FoodCourt,27
2483_01,FoodCourt,195
2486_01,FoodCourt,192
2486_02,FoodCourt,738
2491_01,FoodCourt,2762
2500_01,FoodCourt,44
2502_01,FoodCourt,12
2505_01,FoodCourt,13
2505_02,FoodCourt,5
2506_01,FoodCourt,2506
2506_03,FoodCourt,2467
2509_01,FoodCourt,9
2512_01,FoodCourt,8759
2513_01,FoodCourt,55
2515_01,FoodCourt,2144
2516_01,FoodCourt,17
2519_01,FoodCourt,775
2520_01,FoodCourt,5407
2528_01,FoodCourt,412
2530_01,FoodCourt,1
2532_01,FoodCourt,37
2534_01,FoodCourt,646
2537_01,FoodCourt,9
2541_01,FoodCourt,1482
2544_02,FoodCourt,1912
2546_01,FoodCourt,179
2547_01,FoodCourt,100
2547_02,FoodCourt,12809
2548_01,FoodCourt,48
2551_01,FoodCourt,156
2552_01,FoodCourt,1124
2559_01,FoodCourt,1949
2561_01,FoodCourt,44
2564_01,FoodCourt,3024
2571_01,FoodCourt,8
2574_01,FoodCourt,303
2580_01,FoodCourt,676
2581_01,FoodCourt,20
2588_01,FoodCourt,166
2589_03,FoodCourt,8150
2589_04,FoodCourt,632
2590_02,FoodCourt,148
2591_01,FoodCourt,419
2591_02,FoodCourt,121
2592_02,FoodCourt,9
2593_01,FoodCourt,2
2595_03,FoodCourt,61
2597_02,FoodCourt,7
2606_02,FoodCourt,16
2607_03,FoodCourt,1471
2616_01,FoodCourt,604
2625_02,FoodCourt,1
2627_01,FoodCourt,228
2628_02,FoodCourt,6
2629_01,FoodCourt,6
2638_01,FoodCourt,29
2645_01,FoodCourt,815
2645_02,FoodCourt,2174
2645_04,FoodCourt,3053
2646_01,FoodCourt,286
2648_01,FoodCourt,313
2657_01,FoodCourt,27
2658_01,FoodCourt,1136
2661_01,FoodCourt,4
2662_01,FoodCourt,4
2668_01,FoodCourt,34
2668_02,FoodCourt,382
2670_01,FoodCourt,790
2671_01,FoodCourt,33
2675_01,FoodCourt,1554
2676_01,FoodCourt,1284
2677_01,FoodCourt,302
2678_01,FoodCourt,680
2683_01,FoodCourt,1297
2684_01,FoodCourt,7116
2687_01,FoodCourt,1347
2688_01,FoodCourt,193
2690_01,FoodCourt,104
2691_01,FoodCourt,243
2693_01,FoodCourt,1514
2693_02,FoodCourt,79
2693_03,FoodCourt,846
2697_01,FoodCourt,487
2698_01,FoodCourt,2684
2700_01,FoodCourt,138
2703_01,FoodCourt,617
2704_01,FoodCourt,1
2707_01,FoodCourt,1650
2708_01,FoodCourt,548
2714_01,FoodCourt,1776
2720_01,FoodCourt,2373
2721_01,FoodCourt,746
2723_02,FoodCourt,5876
2727_01,FoodCourt,9
2730_02,FoodCourt,1115
2736_01,FoodCourt,4
2737_01,FoodCourt,726
2737_02,FoodCourt,1772
2740_01,FoodCourt,143
2748_01,FoodCourt,548
2752_03,FoodCourt,82
2754_01,FoodCourt,1
2763_01,FoodCourt,756
2765_01,FoodCourt,1
2768_01,FoodCourt,3
2769_01,FoodCourt,837
2770_01,FoodCourt,1721
2773_01,FoodCourt,2
2774_02,FoodCourt,1195
2774_03,FoodCourt,4
2780_01,FoodCourt,702
2783_02,FoodCourt,8
2786_01,FoodCourt,1
2790_02,FoodCourt,320
2790_03,FoodCourt,933
2790_04,FoodCourt,37
2790_05,FoodCourt,9923
2793_01,FoodCourt,87
2795_01,FoodCourt,5659
2795_02,FoodCourt,802
2798_01,FoodCourt,437
2801_01,FoodCourt,767
2802_01,FoodCourt,2595
2819_01,FoodCourt,169
2826_01,FoodCourt,213
2826_02,FoodCourt,6807
2831_01,FoodCourt,824
2831_02,FoodCourt,1
2832_01,FoodCourt,250
2834_01,FoodCourt,11
2835_01,FoodCourt,186
2839_01,FoodCourt,3935
2852_01,FoodCourt,126
2853_01,FoodCourt,757
2856_01,FoodCourt,896
2860_01,FoodCourt,22
2861_01,FoodCourt,756
2863_01,FoodCourt,2
2865_01,FoodCourt,23
2867_02,FoodCourt,4
2872_01,FoodCourt,1431
2876_01,FoodCourt,656
2877_01,FoodCourt,40
2883_01,FoodCourt,93
2890_01,FoodCourt,351
2891_01,FoodCourt,904
2892_04,FoodCourt,1311
2893_01,FoodCourt,307
2901_01,FoodCourt,20
2901_02,FoodCourt,2
2902_01,FoodCourt,760
2907_01,FoodCourt,9
2908_02,FoodCourt,2
2913_01,FoodCourt,25
2919_01,FoodCourt,2119
2920_01,FoodCourt,179
2925_01,FoodCourt,11
2926_01,FoodCourt,25
2928_01,FoodCourt,2062
2930_01,FoodCourt,9
2934_01,FoodCourt,689
2935_01,FoodCourt,28
2936_01,FoodCourt,30
2940_01,FoodCourt,308
2942_01,FoodCourt,44
2944_01,FoodCourt,3
2948_01,FoodCourt,1971
2953_01,FoodCourt,641
2956_01,FoodCourt,141
2961_01,FoodCourt,54
2964_01,FoodCourt,8525
2966_01,FoodCourt,417
