Source,Target,Amount
0310_01,VRDeck,241
0313_01,VRDeck,4
0314_01,VRDeck,1330
0327_01,VRDeck,2
0330_02,VRDeck,202
0330_03,VRDeck,1260
0331_01,VRDeck,552
0337_02,VRDeck,1057
0343_01,VRDeck,907
0357_01,VRDeck,572
0359_01,VRDeck,88
0360_01,VRDeck,112
0361_01,VRDeck,417
0365_01,VRDeck,21
0368_01,VRDeck,4
0369_01,VRDeck,58
0370_01,VRDeck,1023
0375_01,VRDeck,230
0377_01,VRDeck,8188
0378_01,VRDeck,697
0378_03,VRDeck,2175
0378_06,VRDeck,1059
0379_01,VRDeck,164
0382_01,VRDeck,368
0383_01,VRDeck,140
0385_01,VRDeck,128
0391_01,VRDeck,987
0395_01,VRDeck,5688
0395_02,VRDeck,1
0398_01,VRDeck,3
0403_01,VRDeck,2
0405_01,VRDeck,7
0407_01,VRDeck,1699
0407_02,VRDeck,223
0413_01,VRDeck,60
0417_02,VRDeck,1241
0423_01,VRDeck,57
0425_01,VRDeck,1
0427_01,VRDeck,792
0428_01,VRDeck,3139
0429_01,VRDeck,225
0433_02,VRDeck,3656
0439_01,VRDeck,56
0445_01,VRDeck,799
0445_02,VRDeck,715
0454_01,VRDeck,5
0456_01,VRDeck,73
0459_01,VRDeck,2
0461_02,VRDeck,20
0463_01,VRDeck,35
0465_01,VRDeck,428
0465_02,VRDeck,4
0466_01,VRDeck,1
0471_01,VRDeck,170
0471_02,VRDeck,4
0472_01,VRDeck,299
0475_01,VRDeck,943
0480_01,VRDeck,275
0482_01,VRDeck,665
0482_02,VRDeck,615
0485_01,VRDeck,55
0487_01,VRDeck,246
0501_01,VRDeck,481
0504_04,VRDeck,752
0512_01,VRDeck,122
0516_01,VRDeck,2376
0517_01,VRDeck,73
0522_01,VRDeck,156
0523_01,VRDeck,6
0527_01,VRDeck,4
0528_01,VRDeck,6595
0534_01,VRDeck,1902
0534_02,VRDeck,25
0537_01,VRDeck,352
0538_01,VRDeck,5
0539_05,VRDeck,4987
0540_02,VRDeck,16
0542_01,VRDeck,878
0547_01,VRDeck,3
0548_01,VRDeck,1
0549_01,VRDeck,1
0551_01,VRDeck,12
0556_01,VRDeck,19
0559_01,VRDeck,79
0564_03,VRDeck,3695
0568_01,VRDeck,4
0570_01,VRDeck,872
0571_06,VRDeck,1568
0581_01,VRDeck,4
0587_01,VRDeck,1042
0589_01,VRDeck,1
0590_01,VRDeck,973
0593_01,VRDeck,2005
0594_02,VRDeck,113
0599_03,VRDeck,6
0600_01,VRDeck,793
0603_01,VRDeck,747
0607_01,VRDeck,9568
0607_02,VRDeck,892
0609_01,VRDeck,109
0610_01,VRDeck,5
0618_02,VRDeck,388
0628_01,VRDeck,1
0634_01,VRDeck,383
0635_02,VRDeck,319
0636_01,VRDeck,359
0641_01,VRDeck,19
0642_01,VRDeck,972
0642_02,VRDeck,575
0642_03,VRDeck,2
0656_01,VRDeck,3
0661_01,VRDeck,722
0663_01,VRDeck,39
0664_01,VRDeck,5689
0668_01,VRDeck,482
0669_01,VRDeck,403
0672_01,VRDeck,740
0685_01,VRDeck,15
0687_01,VRDeck,213
0688_01,VRDeck,3
0693_02,VRDeck,38
0699_02,VRDeck,5
0702_01,VRDeck,54
0709_01,VRDeck,15
0710_01,VRDeck,349
0718_01,VRDeck,1
0724_01,VRDeck,2566
0727_01,VRDeck,354
0728_01,VRDeck,594
0733_01,VRDeck,561
0734_01,VRDeck,517
0740_01,VRDeck,1166
0740_03,VRDeck,58
0750_01,VRDeck,493
0753_02,VRDeck,8
0757_01,VRDeck,151
0761_01,VRDeck,67
0767_01,VRDeck,187
0768_01,VRDeck,17306
0772_01,VRDeck,1359
0776_01,VRDeck,18
0779_01,VRDeck,11
0781_01,VRDeck,467
0785_01,VRDeck,1
0789_01,VRDeck,342
0789_02,VRDeck,3497
0793_01,VRDeck,766
0797_01,VRDeck,645
0799_01,VRDeck,4
0805_01,VRDeck,1
0806_01,VRDeck,1171
0808_01,VRDeck,10
0811_01,VRDeck,833
0816_01,VRDeck,438
0820_01,VRDeck,3
0822_01,VRDeck,161
0828_02,VRDeck,26
0834_01,VRDeck,27
0835_01,VRDeck,166
0839_01,VRDeck,5152
0840_01,VRDeck,2
0845_01,VRDeck,1300
0851_01,VRDeck,12
0860_01,VRDeck,427
0871_01,VRDeck,31
0873_01,VRDeck,92
0879_01,VRDeck,4
0881_01,VRDeck,26
0889_02,VRDeck,52
0899_01,VRDeck,1
0904_01,VRDeck,1043
0905_01,VRDeck,19
0907_01,VRDeck,28
0907_02,VRDeck,634
0911_01,VRDeck,4
0912_01,VRDeck,450
0913_01,VRDeck,34
0915_01,VRDeck,3
0918_01,VRDeck,1406
0919_01,VRDeck,289
0922_02,VRDeck,1226
0923_01,VRDeck,2453
0926_01,VRDeck,25
0926_02,VRDeck,81
0927_01,VRDeck,22
0930_01,VRDeck,260
0931_01,VRDeck,491
0933_02,VRDeck,1070
0935_01,VRDeck,872
0940_01,VRDeck,13
0946_01,VRDeck,188
0947_01,VRDeck,201
0953_01,VRDeck,359
0960_01,VRDeck,788
0972_01,VRDeck,6
0984_01,VRDeck,873
0984_03,VRDeck,319
0984_05,VRDeck,1088
0985_01,VRDeck,704
0987_01,VRDeck,478
0988_02,VRDeck,149
0990_01,VRDeck,96
0992_01,VRDeck,135
0992_02,VRDeck,1341
0992_04,VRDeck,1436
0992_06,VRDeck,91
0994_02,VRDeck,135
0997_01,VRDeck,2
0998_01,VRDeck,35
1002_02,VRDeck,3
1005_01,VRDeck,773
1006_01,VRDeck,791
1024_03,VRDeck,209
1027_03,VRDeck,9
1030_01,VRDeck,7
1031_01,VRDeck,99
1034_01,VRDeck,213
1035_01,VRDeck,39
1045_02,VRDeck,10896
1053_01,VRDeck,376
1054_01,VRDeck,96
1058_01,VRDeck,677
1060_01,VRDeck,689
1062_01,VRDeck,149
1063_01,VRDeck,1374
1071_01,VRDeck,60
1077_01,VRDeck,455
1083_03,VRDeck,6
1084_01,VRDeck,843
1089_02,VRDeck,794
1094_01,VRDeck,365
1096_01,VRDeck,488
1100_04,VRDeck,130
1102_01,VRDeck,781
1105_01,VRDeck,515
1108_01,VRDeck,100
1110_01,VRDeck,7516
1110_02,VRDeck,754
1112_01,VRDeck,100
1113_01,VRDeck,719
1116_02,VRDeck,98
1123_01,VRDeck,9010
1129_01,VRDeck,3
1130_02,VRDeck,17
1136_01,VRDeck,67
1140_01,VRDeck,756
1142_01,VRDeck,908
1144_02,VRDeck,30
1146_01,VRDeck,1304
1148_02,VRDeck,1213
1148_03,VRDeck,1933
1148_04,VRDeck,61
1148_07,VRDeck,1693
1152_01,VRDeck,4
1155_01,VRDeck,16
1156_01,VRDeck,67
1161_01,VRDeck,461
1161_02,VRDeck,687
1162_01,VRDeck,694
1163_01,VRDeck,7
1165_01,VRDeck,2587
1165_02,VRDeck,67
1166_01,VRDeck,1920
1168_01,VRDeck,653
1170_01,VRDeck,512
1182_02,VRDeck,7
1186_04,VRDeck,113
1187_01,VRDeck,44
1188_01,VRDeck,61
1190_01,VRDeck,8
1191_01,VRDeck,1583
1197_01,VRDeck,1388
1199_01,VRDeck,235
1203_01,VRDeck,6381
1208_01,VRDeck,200
1210_02,VRDeck,5
1211_05,VRDeck,10
1213_01,VRDeck,4
1218_01,VRDeck,7
1220_01,VRDeck,810
1221_02,VRDeck,1
1222_01,VRDeck,132
1225_01,VRDeck,1
1229_01,VRDeck,2
1230_01,VRDeck,229
1232_02,VRDeck,661
1238_01,VRDeck,356
1239_01,VRDeck,105
1240_01,VRDeck,28
1242_01,VRDeck,223
1243_01,VRDeck,1281
1250_01,VRDeck,567
1254_01,VRDeck,47
1256_01,VRDeck,9
1258_01,VRDeck,4987
1259_01,VRDeck,142
1261_01,VRDeck,2313
1263_01,VRDeck,5
1264_01,VRDeck,945
1269_01,VRDeck,1
1274_01,VRDeck,173
1287_03,VRDeck,43
1289_02,VRDeck,19
1292_01,VRDeck,3146
1292_02,VRDeck,13
1293_01,VRDeck,584
1300_01,VRDeck,13
1302_01,VRDeck,256
1306_01,VRDeck,514
1308_02,VRDeck,2519
1308_03,VRDeck,6
1309_01,VRDeck,671
1310_01,VRDeck,53
1311_03,VRDeck,623
1316_02,VRDeck,89
1317_01,VRDeck,67
1325_02,VRDeck,336
1326_01,VRDeck,1147
1330_02,VRDeck,7
1333_01,VRDeck,26
1337_01,VRDeck,4
1342_01,VRDeck,761
1348_01,VRDeck,2969
1350_02,VRDeck,72
1353_02,VRDeck,723
1356_01,VRDeck,539
1362_01,VRDeck,2
1365_01,VRDeck,150
1377_01,VRDeck,144
1378_02,VRDeck,78
1379_01,VRDeck,4
1380_01,VRDeck,3604
1382_01,VRDeck,55
1384_01,VRDeck,5
1384_03,VRDeck,368
1384_04,VRDeck,86
1391_03,VRDeck,351
1393_01,VRDeck,1853
1393_02,VRDeck,19
1398_01,VRDeck,46
1399_01,VRDeck,60
1401_01,VRDeck,152
1404_01,VRDeck,3471
1404_02,VRDeck,13
1410_01,VRDeck,122
1412_01,VRDeck,832
1414_01,VRDeck,1916
1415_01,VRDeck,32
1417_01,VRDeck,3358
1421_01,VRDeck,820
1421_02,VRDeck,5
1424_02,VRDeck,1779
1425_01,VRDeck,57
1427_02,VRDeck,2
1430_01,VRDeck,8
1431_01,VRDeck,965
1435_01,VRDeck,659
1438_01,VRDeck,191
1439_02,VRDeck,47
1440_01,VRDeck,649
1444_01,VRDeck,912
1447_01,VRDeck,755
1450_02,VRDeck,112
1451_01,VRDeck,2485
1452_01,VRDeck,3384
1452_03,VRDeck,1462
1452_04,VRDeck,6
1453_01,VRDeck,3404
1453_02,VRDeck,5
1454_01,VRDeck,72
1455_02,VRDeck,698
1455_04,VRDeck,504
1455_05,VRDeck,330
1463_01,VRDeck,1
1465_01,VRDeck,248
1467_01,VRDeck,26
1478_01,VRDeck,2372
1478_02,VRDeck,701
1489_01,VRDeck,2
1491_01,VRDeck,8
1491_02,VRDeck,706
1493_01,VRDeck,713
1498_01,VRDeck,153
1499_01,VRDeck,1061
1500_03,VRDeck,55
1500_05,VRDeck,376
1507_03,VRDeck,4
1511_01,VRDeck,329
1511_03,VRDeck,27
1511_04,VRDeck,1
1526_01,VRDeck,521
1529_01,VRDeck,282
1532_01,VRDeck,11378
1533_01,VRDeck,1
1539_01,VRDeck,5
1540_01,VRDeck,2114
1540_02,VRDeck,553
1544_01,VRDeck,800
1545_01,VRDeck,523
1550_01,VRDeck,4030
1550_02,VRDeck,235
1551_01,VRDeck,1460
1558_01,VRDeck,1
1560_01,VRDeck,837
1561_01,VRDeck,1122
1565_01,VRDeck,766
1573_01,VRDeck,162
1576_01,VRDeck,16
1578_01,VRDeck,783
1580_01,VRDeck,714
1580_02,VRDeck,424
1590_01,VRDeck,7
1590_02,VRDeck,2439
1592_01,VRDeck,341
1592_02,VRDeck,196
1594_01,VRDeck,923
1595_01,VRDeck,36
1602_01,VRDeck,55
1603_01,VRDeck,119
1604_01,VRDeck,161
1606_01,VRDeck,22
1611_01,VRDeck,44
1612_01,VRDeck,341
1613_01,VRDeck,42
1621_01,VRDeck,8
1621_02,VRDeck,341
1625_02,VRDeck,98
1626_01,VRDeck,1
1630_03,VRDeck,5
1631_01,VRDeck,362
1635_01,VRDeck,1134
1636_01,VRDeck,25
1640_01,VRDeck,2
1644_01,VRDeck,794
1647_01,VRDeck,2
1653_01,VRDeck,2
1655_01,VRDeck,5
1657_01,VRDeck,5321
1659_01,VRDeck,718
1661_02,VRDeck,178
1666_01,VRDeck,86
1668_01,VRDeck,536
1670_01,VRDeck,1442
1671_01,VRDeck,64
1673_01,VRDeck,16
1685_01,VRDeck,264
1687_01,VRDeck,44
1690_01,VRDeck,754
1695_01,VRDeck,256
1696_01,VRDeck,427
1699_01,VRDeck,68
1700_02,VRDeck,622
1704_01,VRDeck,3
1708_01,VRDeck,1290
1709_01,VRDeck,47
1709_03,VRDeck,1
1709_04,VRDeck,8
1709_06,VRDeck,1241
1712_02,VRDeck,24
1717_02,VRDeck,1679
1721_01,VRDeck,640
1724_01,VRDeck,31
1725_01,VRDeck,603
1728_01,VRDeck,243
1730_01,VRDeck,795
1745_01,VRDeck,6064
1748_01,VRDeck,807
1752_01,VRDeck,308
1757_01,VRDeck,26
1758_01,VRDeck,3
1760_01,VRDeck,4
1761_01,VRDeck,1
1762_02,VRDeck,253
1766_01,VRDeck,1333
1767_02,VRDeck,1168
1767_03,VRDeck,42
1775_01,VRDeck,14
1779_01,VRDeck,11
1781_01,VRDeck,12
1783_01,VRDeck,591
1786_01,VRDeck,638
1798_01,VRDeck,105
1799_01,VRDeck,180
1802_01,VRDeck,1
1807_01,VRDeck,4045
1808_01,VRDeck,30
1812_01,VRDeck,57
1813_01,VRDeck,263
1816_01,VRDeck,52
1816_02,VRDeck,23
1817_01,VRDeck,443
1821_01,VRDeck,19
1823_01,VRDeck,9
1827_01,VRDeck,427
1828_01,VRDeck,254
1829_02,VRDeck,295
1829_03,VRDeck,19
1829_04,VRDeck,1572
1829_06,VRDeck,1955
1833_01,VRDeck,521
1843_01,VRDeck,194
1844_01,VRDeck,1381
1846_01,VRDeck,16
1847_01,VRDeck,123
1848_01,VRDeck,663
1850_02,VRDeck,25
1854_01,VRDeck,771
1855_02,VRDeck,85
1860_01,VRDeck,3156
1860_02,VRDeck,318
1861_02,VRDeck,133
1865_05,VRDeck,1115
1866_01,VRDeck,865
1871_01,VRDeck,52
1874_02,VRDeck,1479
1877_01,VRDeck,3
1879_01,VRDeck,1009
1880_01,VRDeck,9
1882_01,VRDeck,15
1888_01,VRDeck,29
1889_01,VRDeck,702
1892_01,VRDeck,731
1892_02,VRDeck,1107
1892_03,VRDeck,44
1897_01,VRDeck,5063
1905_01,VRDeck,1225
1907_01,VRDeck,247
1911_01,VRDeck,90
1915_01,VRDeck,704
1916_02,VRDeck,1514
1920_01,VRDeck,2
1923_01,VRDeck,872
1927_01,VRDeck,284
1928_01,VRDeck,388
1938_01,VRDeck,117
1947_01,VRDeck,7
1950_01,VRDeck,1357
1953_01,VRDeck,717
1956_02,VRDeck,74
1959_02,VRDeck,3822
1959_03,VRDeck,260
1961_01,VRDeck,613
1962_01,VRDeck,160
1963_01,VRDeck,17
1964_01,VRDeck,3377
1969_01,VRDeck,2293
1974_01,VRDeck,18
1975_01,VRDeck,761
1976_01,VRDeck,2
1976_02,VRDeck,473
1976_04,VRDeck,1
1981_01,VRDeck,198
1983_01,VRDeck,173
1984_01,VRDeck,6
1991_01,VRDeck,138
1991_02,VRDeck,1
1994_01,VRDeck,5
1995_01,VRDeck,26
2000_01,VRDeck,157
2001_01,VRDeck,40
2003_01,VRDeck,719
2006_01,VRDeck,5
2007_01,VRDeck,1
2012_01,VRDeck,5416
2013_01,VRDeck,804
2015_01,VRDeck,671
2019_01,VRDeck,2
2019_02,VRDeck,7619
2026_03,VRDeck,287
2027_01,VRDeck,6
2028_01,VRDeck,9
2038_01,VRDeck,2
2042_01,VRDeck,19
2044_01,VRDeck,23
2051_01,VRDeck,22
2052_01,VRDeck,1
2053_01,VRDeck,4724
2054_01,VRDeck,1119
2055_02,VRDeck,642
2056_02,VRDeck,149
2056_03,VRDeck,13
2059_01,VRDeck,907
2060_01,VRDeck,423
2061_01,VRDeck,327
2065_01,VRDeck,1963
2067_02,VRDeck,2713
2071_01,VRDeck,163
2071_02,VRDeck,650
2073_01,VRDeck,448
2074_01,VRDeck,729
2074_02,VRDeck,16
2075_01,VRDeck,343
2080_01,VRDeck,61
2082_01,VRDeck,769
2083_01,VRDeck,506
2084_01,VRDeck,6007
2085_01,VRDeck,99
2086_01,VRDeck,397
2086_02,VRDeck,556
2087_01,VRDeck,1
2088_02,VRDeck,509
2089_01,VRDeck,549
2090_01,VRDeck,12
2092_01,VRDeck,1
2095_01,VRDeck,1344
2100_01,VRDeck,5
2102_01,VRDeck,4538
2104_01,VRDeck,23
2106_01,VRDeck,1
2111_01,VRDeck,1
2117_01,VRDeck,267
2125_01,VRDeck,826
2128_01,VRDeck,185
2130_01,VRDeck,176
2131_01,VRDeck,900
2134_01,VRDeck,3
2136_01,VRDeck,28
2147_01,VRDeck,105
2148_01,VRDeck,7
2156_01,VRDeck,2
2163_01,VRDeck,22
2168_02,VRDeck,13
2171_02,VRDeck,68
2179_01,VRDeck,281
2180_01,VRDeck,247
2182_01,VRDeck,1254
2183_01,VRDeck,251
2188_01,VRDeck,63
2190_01,VRDeck,76
2193_01,VRDeck,70
2195_01,VRDeck,5
2196_01,VRDeck,1440
2196_04,VRDeck,283
2198_01,VRDeck,68
2206_01,VRDeck,72
2215_01,VRDeck,6
2215_02,VRDeck,198
2215_04,VRDeck,72
2220_01,VRDeck,2
2223_01,VRDeck,570
2229_01,VRDeck,154
2232_01,VRDeck,3
2233_01,VRDeck,878
2237_01,VRDeck,99
2241_01,VRDeck,1
2243_01,VRDeck,121
2251_01,VRDeck,85
2251_02,VRDeck,1153
2252_01,VRDeck,960
2254_01,VRDeck,1
2257_01,VRDeck,654
2264_01,VRDeck,868
2266_01,VRDeck,475
2273_01,VRDeck,778
2279_01,VRDeck,3970
2280_01,VRDeck,11643
2282_01,VRDeck,378
2291_02,VRDeck,277
2291_03,VRDeck,568
2295_01,VRDeck,1769
2295_02,VRDeck,258
2298_01,VRDeck,5
2299_01,VRDeck,62
2300_01,VRDeck,8195
2300_02,VRDeck,3768
2302_01,VRDeck,34
2306_03,VRDeck,2924
2308_02,VRDeck,168
2308_03,VRDeck,4
2308_04,VRDeck,6
2310_03,VRDeck,11
2311_01,VRDeck,84
2318_01,VRDeck,5
2320_01,VRDeck,23
2327_01,VRDeck,2
2336_02,VRDeck,3782
2348_01,VRDeck,1239
2349_01,VRDeck,185
2363_01,VRDeck,462
2364_01,VRDeck,33
2368_01,VRDeck,108
2369_01,VRDeck,40
2373_01,VRDeck,96
2376_01,VRDeck,673
2385_01,VRDeck,3
2387_01,VRDeck,490
2390_01,VRDeck,4120
2396_01,VRDeck,781
2398_01,VRDeck,5
2404_01,VRDeck,1561
2404_03,VRDeck,1171
2409_01,VRDeck,3
2414_01,VRDeck,2447
2416_01,VRDeck,729
2417_01,VRDeck,9
2429_01,VRDeck,606
2431_01,VRDeck,208
2435_01,VRDeck,2757
2436_01,VRDeck,40
2441_01,VRDeck,372
2444_01,VRDeck,54
2445_01,VRDeck,69
2446_01,VRDeck,94
2454_01,VRDeck,644
2455_01,VRDeck,275
2467_01,VRDeck,11
2471_01,VRDeck,364
2475_01,VRDeck,3643
2476_01,VRDeck,1264
2480_01,VRDeck,17
2486_01,VRDeck,1
2486_02,VRDeck,621
2488_01,VRDeck,500
2491_01,VRDeck,1391
2497_01,VRDeck,619
2500_01,VRDeck,418
2502_01,VRDeck,3
2505_01,VRDeck,2
2505_02,VRDeck,238
2506_01,VRDeck,5
2506_03,VRDeck,803
2512_01,VRDeck,4513
2515_01,VRDeck,5872
2516_01,VRDeck,506
2520_01,VRDeck,1135
2534_01,VRDeck,1425
2537_01,VRDeck,349
2540_01,VRDeck,582
2541_01,VRDeck,1257
2542_01,VRDeck,41
2544_02,VRDeck,43
2546_01,VRDeck,77
2547_01,VRDeck,1462
2547_02,VRDeck,1514
2549_01,VRDeck,12
2551_01,VRDeck,324
2559_01,VRDeck,39
2561_01,VRDeck,1
2564_01,VRDeck,10
2565_02,VRDeck,624
2571_01,VRDeck,74
2574_01,VRDeck,478
2578_01,VRDeck,195
2581_01,VRDeck,254
2581_02,VRDeck,733
2589_03,VRDeck,99
2589_04,VRDeck,2272
2591_01,VRDeck,7
2591_02,VRDeck,128
2593_01,VRDeck,62
2595_03,VRDeck,4
2597_02,VRDeck,687
2598_01,VRDeck,1318
2606_01,VRDeck,1
2607_03,VRDeck,533
2616_01,VRDeck,218
2625_02,VRDeck,1348
2626_01,VRDeck,5
2627_01,VRDeck,1
2628_02,VRDeck,67
2629_01,VRDeck,693
2640_01,VRDeck,1051
2642_01,VRDeck,793
2645_01,VRDeck,1334
2645_02,VRDeck,2564
2645_04,VRDeck,2153
2646_01,VRDeck,7041
2647_01,VRDeck,68
2649_01,VRDeck,677
2652_01,VRDeck,32
2657_01,VRDeck,1
2660_01,VRDeck,1215
2661_01,VRDeck,3
2663_01,VRDeck,811
2668_02,VRDeck,236
2671_01,VRDeck,708
2672_01,VRDeck,86
2675_01,VRDeck,1435
2677_01,VRDeck,669
2684_01,VRDeck,1515
2685_01,VRDeck,21
2688_01,VRDeck,591
2692_01,VRDeck,695
2693_01,VRDeck,1393
2693_02,VRDeck,1895
2693_03,VRDeck,2024
2698_01,VRDeck,1751
2700_01,VRDeck,530
2703_01,VRDeck,10
2707_01,VRDeck,510
2708_01,VRDeck,12
2714_01,VRDeck,12
2717_01,VRDeck,554
2720_01,VRDeck,985
2721_01,VRDeck,4
2723_02,VRDeck,914
2727_01,VRDeck,63
2730_02,VRDeck,132
2737_01,VRDeck,1257
2737_02,VRDeck,2618
2740_01,VRDeck,107
2741_01,VRDeck,692
2743_01,VRDeck,11
2750_01,VRDeck,11
2753_01,VRDeck,907
2759_01,VRDeck,810
2763_01,VRDeck,12
2764_01,VRDeck,1209
2774_01,VRDeck,697
2774_03,VRDeck,551
2783_02,VRDeck,155
2784_01,VRDeck,8
2786_01,VRDeck,493
2787_01,VRDeck,1
2790_02,VRDeck,51
2790_03,VRDeck,731
2790_05,VRDeck,266
2793_01,VRDeck,1
2795_02,VRDeck,671
2797_01,VRDeck,1345
2798_01,VRDeck,3030
2801_01,VRDeck,3657
2802_01,VRDeck,122
2807_01,VRDeck,820
2811_01,VRDeck,871
2817_01,VRDeck,12
2819_01,VRDeck,470
2826_01,VRDeck,3051
2826_02,VRDeck,2473
2831_01,VRDeck,1479
2831_02,VRDeck,55
2832_01,VRDeck,514
2834_01,VRDeck,1295
2835_01,VRDeck,5058
2837_01,VRDeck,1919
2840_01,VRDeck,20
2854_01,VRDeck,809
2856_01,VRDeck,4168
2863_01,VRDeck,801
2865_01,VRDeck,81
2870_01,VRDeck,1
2872_01,VRDeck,337
2876_01,VRDeck,23
2878_01,VRDeck,9
2887_01,VRDeck,3
2890_01,VRDeck,3447
2891_01,VRDeck,1
2893_01,VRDeck,19
2894_01,VRDeck,1
2897_01,VRDeck,556
2901_01,VRDeck,681
2901_02,VRDeck,707
2906_01,VRDeck,574
2907_01,VRDeck,5
2908_02,VRDeck,143
2913_01,VRDeck,1042
2919_01,VRDeck,261
2928_01,VRDeck,1618
2930_01,VRDeck,16
2935_01,VRDeck,543
2936_01,VRDeck,388
2942_01,VRDeck,510
2948_01,VRDeck,1050
2950_01,VRDeck,5
2954_01,VRDeck,316
2956_01,VRDeck,1689
2958_01,VRDeck,1204
2964_01,VRDeck,636
2965_01,VRDeck,3
2966_01,VRDeck,84
2969_01,VRDeck,516
2970_01,VRDeck,1
2971_01,VRDeck,3
2972_01,VRDeck,190
2975_01,VRDeck,10
2983_01,VRDeck,810
2986_01,VRDeck,1370
2988_01,VRDeck,4941
2992_01,VRDeck,528
2993_01,VRDeck,706
2994_01,VRDeck,603
2996_01,VRDeck,22
2998_01,VRDeck,300
3000_01,VRDeck,1
3001_01,VRDeck,4359
3001_02,VRDeck,29
3006_01,VRDeck,732
3010_01,VRDeck,83
3013_01,VRDeck,409
3014_01,VRDeck,6237
3015_01,VRDeck,74
3019_01,VRDeck,64
3020_01,VRDeck,3372
3021_01,VRDeck,4
3021_02,VRDeck,1637
3022_01,VRDeck,3510
3022_02,VRDeck,312
3025_01,VRDeck,9
3025_02,VRDeck,44
3029_01,VRDeck,1784
3030_01,VRDeck,1804
3032_04,VRDeck,283
3033_01,VRDeck,513
3042_01,VRDeck,437
3050_01,VRDeck,276
3053_01,VRDeck,810
3054_01,VRDeck,5
3061_02,VRDeck,72
3062_01,VRDeck,36
3063_03,VRDeck,254
3065_01,VRDeck,1
3071_02,VRDeck,6023
3080_01,VRDeck,2
3081_01,VRDeck,1
3083_01,VRDeck,1014
3085_01,VRDeck,556
3090_01,VRDeck,31
3091_01,VRDeck,384
3092_01,VRDeck,700
3096_01,VRDeck,188
3103_01,VRDeck,7979
3116_01,VRDeck,21
3117_01,VRDeck,23
3126_01,VRDeck,1140
3128_01,VRDeck,312
3134_01,VRDeck,1437
3138_01,VRDeck,1681
3142_01,VRDeck,16
3158_01,VRDeck,1196
3161_01,VRDeck,4240
3162_02,VRDeck,2409
3163_02,VRDeck,66
3169_01,VRDeck,3
3176_01,VRDeck,1464
3180_01,VRDeck,336
3185_01,VRDeck,1191
3195_02,VRDeck,356
3200_01,VRDeck,773
3201_01,VRDeck,398
3204_01,VRDeck,1457
3204_02,VRDeck,196
3204_03,VRDeck,469
3210_01,VRDeck,3219
3210_02,VRDeck,266
3210_03,VRDeck,1229
3211_01,VRDeck,2
3211_02,VRDeck,144
3218_01,VRDeck,1
3223_01,VRDeck,37
3225_02,VRDeck,341
3235_01,VRDeck,71
3236_02,VRDeck,77
3236_03,VRDeck,5
3240_01,VRDeck,7
3252_01,VRDeck,2049
3253_01,VRDeck,20
3254_01,VRDeck,85
3269_01,VRDeck,1937
3270_01,VRDeck,243
